,Name,Also known as,Description,Substitutions,Scientific name
396,hominy grits,"corn grits, grits","This Southern staple is made from hominy or plain corn that's been ground until it has the consistency of coarse sand.  It's used as a side dish, a breakfast cereal, or as an ingredient in baked goods.  Varieties include quick-cooking grits and instant grits.","['polenta', 'buckwheat grits', 'barley grits']",Zea mays
397,hulled barley,barley groats,"This is the least processed form of barley, with just the outermost hull removed.  While it's chewier and slower to cook than more processed forms of barley, it's rich in fiber and really good for you.   Look for it in health food stores.","['pot barley', 'pearl barley', 'barley grits', 'buckwheat groats']",Hordeum vulgare
398,instant oats,,"These are very thin, precooked oats that need only be mixed with a hot liquid.  They usually have flavorings and salt added.  They're convenient, but not as chewy and flavorful as slower-cooking oats.",['quick oats'],Avena sativa
399,instant rice,precooked rice,"This is white rice that's been precooked and dehydrated so that it cooks quickly.   It's relatively expensive, though, and you sacrifice both flavor and texture. White instant rice cooks in about five minutes, brown in about ten.  Minute Rice is a well-known brand.",['long-grain rice'],Oryza sativa
400,jasmine rice,"Thai basmati rice, Thai jasmine rice",Jasmine rice is a long-grain rice produced in Thailand that's sometimes used as a cheap substitute for basmati rice. It has a subtle floral aroma.   It's sold as both a brown and white rice.,"['basmati rice', 'popcorn rice', 'Patna rice', 'long-grain rice']",Oryza sativa
401,kalijira rice,baby basmati rice,This tiny aromatic rice is grown in Bangladesh.  It cooks fast and is especially good in rice puddings.,['basmati rice'],Oryza sativa
402,kamut® brand berries,,"Though this contains gluten, it's tolerated by many people with gluten allergies.  But even people who aren't troubled by allergies often prefer this sweet, buttery grain to wheat.",['wheat berries'],Triticum turanicum
403,kamut® brand flakes,,"This has a sweet, nutty flavor and lots of protein.  Though it contains gluten, it's tolerated by many people with gluten allergies.","['rolled oats', 'rye flakes', 'barley flakes']",Triticum turanicum
404,kamut® brand wheat,,"This ancient grain is related to durum wheat, and was reintroduced to the world after an American found some kernels of it in an Egyptian tomb.  It's high in protein and has a sweet, buttery flavor.  Though it contains gluten, it's tolerated by many people with gluten allergies.","['spelt', 'wheat']",Triticum turanicum
405,"almonds, blanched",blanched almonds,"Shelled almonds have a slightly bitter brown skin which can be removed by blanching them.  To do this, drop shelled almonds into boiling water, remove the pan from the heat source and let it stand for two minutes, then drain the almonds and rub off the skins.  Many cooks prefer to skip this step and buy their almonds already blanched.","['lotus seeds', 'almond meal', 'candlenut', 'gingko nut', 'pistachio nut']",Prunus dulcis
406,anasazi beans,"frijol conejo, little cow, rabbit bean","These heirloom beans are sweet, fast-cooking, and reputed to cause less flatulence than other  bean varieties.  They're great for making refried beans.","['cranberry bean', 'pinto bean', 'cranberry bean']","Phaseolus vulgaris, anasazi"
407,appaloosa bean,purple appaloosa bean,These heirloom beans have markings like Appaloosa ponies. They're often used to make chili and soups.,"['pinto bean', 'black bean']",Phaseolus vulgaris
408,atsu-age,"atsuage, nama-age","This is a cake of pressed tofu that has been deep-fat fried, giving it a crisp and meaty exterior and a soft interior.  The Japanese like to cut it into cubes and use it in stir-fries and soups.   Before using, you should blanch and drain it, then prick it with a toothpick so that it will better absorb other flavors.  Atsu-age is widely available in Asian markets.","['abura-age', 'deep-fried tofu', 'pressed tofu']",Glycine max
409,awase miso,,This is a fairly mild blend of red and white miso that's often used for vegetable soups.,['white miso'],Glycine max
410,azuki bean,"aduki bean, adzuki bean, asuki bean, feijao bean, field pea, red chori, red Oriental bean, Tiensin red bean","The Japanese use these small red beans to make sweet red bean paste, but they're also good in rice dishes or salads.  Azuki beans are sweet and relatively easy to digest, so they won't make you as gassy as other beans.  They also don't take as long to cook.","['black azuki bean', 'red kidney bean', 'Tolosana bean']",Vigna angularis
411,barley miso,mugi miso,"Made from barley, it's reddish-brown in color and a bit sweeter than other dark misos.","['awase miso', 'red miso']",Hordeum vulgare
412,bayo bean,,,['red bean'],
413,bean paste,miso,This name is used for both bean sauce and miso.,['bean sauce'],
414,bean stick,"bamboo yuba, bean curd stick, Chinese yuba, dried bean curd stick, dried bean stick, fu jook pei","This is made from the skin that forms on the top of heated soy milk.   It's rich in protein, and used by Chinese and Japanese cooks in soups.  Look for it in Asian food stores.",['yuba'],Glycine max
415,beechnut,"beech nut, beechmast","Beechnuts are small, triangular nuts. They're usually roasted.",['hazelnut'],Fagus
416,beluga lentil,"beluga black lentil, black beluga lentil, petite beluga lentil","These glisten when they're cooked, which makes them look like beluga caviar.  They're great in soups or salads.",['French green lentils'],
417,bitter almond,,"Unprocessed bitter almonds have a more intense flavor than ordinary almonds, but they aren't available in the United States since they're mildly toxic if eaten raw. Instead, they're processed and used to make oil of bitter almonds, almond extract, almond liqueurs, and orgeat syrup. This name is often used (incorrectly) for the Chinese almond.","['Chinese almond', 'bitter almond', 'almond', 'almond']",Prunus dulcis
418,black azuki bean,"asuki bean, black aduki bean, black adzuki bean","This is a black version of the more common red azuki bean.  Like their red relatives, black azuki beans are sweet and relatively easy to digest, so they won't make you as gassy as other beans.  They also don't take as long to cook.",['azuki bean'],Vigna angularis
419,black bean,"black turtle bean, frijole negro, Mexican black bean, Spanish black bean, turtle bean, turtle soup bean","These beans are a staple of Latin American and Caribbean cuisine, where they're used to make side dishes, soups, bean dips, and salads.  They have a strong, earthy flavor, so they're often combined with assertive flavorings.  Don't confuse black beans with fermented black beans.","['appaloosa bean', 'calypso bean', 'soybean', 'azuki bean']","Phaseolus vulgaris, alack turtle"
420,black chickpeas,"Bengal gram, kala channa","These are more rust-colored than black, and have a nutty flavor.  Look for them in Indian markets.",['chickpea'],Cicer arietinum
421,black walnut,,"These are hard to shell, but tastier than ordinary walnuts. Bakers use them to take their fudge and cookies up a notch.",['walnut'],Juglans nigra
422,black-eyed pea,"black-eye bean, black-eye pea, black-eyed suzy, chawli, China bean, cowpea, crowder pea, lobhia, lombia, poor man's pea, Southern pea","Originally from China, these chewy peas were common fare on slave plantations.   They're still popular in the South, where they're traditionally eaten on New Year's Day or combined with rice and sausage to make Hoppin' John.  They don't need soaking and cook fairly quickly.  Don't overcook them, or they'll get mushy.","['fresh black-eyed pea', 'yellow-eyed pea', 'pigeon pea', 'green pea', 'Lentils']",Vigna unguiculata
423,bolita bean,,,"['pinto bean', 'anasazi beans']",
424,Brazil nut,"cream nut, para nut","These nuts come from the Amazonian rainforest, and they're rich in protein, omega-3 fatty acid, and calcium.  They're prone to rancidity, so store them in the refrigerator or freezer if you plan to keep them for awhile.  It's easier to shell them if you first heat them in a 350° oven for about 15 minutes.","['macadamia nut', 'paradise nut', 'almond', 'pecan']",Bertholletia excelsa
425,breadnut seeds,,"These seeds come from breadnuts, which are seeded versions of breadfruit.","['jackfruit seed', 'chestnut']",Artocarpus altilis
426,brown bean,Egyptian brown beans,,['dried fava bean '],
427,brown lentil,"continental lentil, Egyptian lentil, German lentil, green lentil, Indian brown lentil","These are the standard khaki-colored lentils you see on grocery shelves everywhere.  They tend to get mushy if overcooked.  If you want them to be firm, add oil to the cooking water and cook the lentils just a short while, say 15 minutes.","['French green lentils', 'toor dal', 'red lentil']",Lens culinaris
428,brown rice miso,genmai miso,,['bean sauce'],Oryza
429,brown speckled cow bean,speckled brown cow bean,These heirloom beans are great in soups.,[],
430,butternut,white walnut,This walnut relative is hard to find outside of New England.,['walnut'],Juglans cinerea
431,calypso bean,"orca bean, yin yang bean",Cooking these beautiful beans in lots of water helps keep them from losing their distinctive coloring.,"['cannellini bean', 'black bean']","Phaseolus vulgaris, calypso"
432,candlenut,"buah keras, candle nut, candleberry, country walnut, godou, Indian walnut, kemiri","Candlenuts must be cooked before eating, since they're highly toxic when raw.  Ground candlenuts are often used to thicken Malaysian and Indonesian curries. They're so oily that natives string them together and use them as candles. Look for them in Southeast Asian markets.","['macadamia nut', 'Brazil nut', 'cashew', 'almonds, blanched']",Aleurites moluccanus
433,cannellini bean,"fazolia bean, white kidney bean",You've probably already encountered this Italian bean in minestrone soup or a bean salad.  It's prized for its smooth texture and nutty flavor.,"['fresh cannellini bean', 'Great Northern bean', 'navy bean', 'calypso bean', 'flageolet bean']",Phaseolus vulgaris
434,cashew,cashew nut,"These rich, sweet nuts have a toxic shell, so they're almost always sold shelled. Toast them briefly in the oven to boost their flavor.","['peanut', 'pine nut', 'almond', 'pecan', 'water chestnut']",Anacardium occidentale
435,almond liqueur,, Almond liqueur is excellent on ice cream or in coffee.,"['amaretto', 'almond extract', 'hazelnut liqueur']",
436,almond milk,,Look for this in aseptic containers. Shake well before using!,"['vanilla extract', 'rice milk']",Prunus dulcis
437,amaretto,,"This is a brandy-based liqueur that's flavored with almonds and apricot pits.   It complements chocolate, coffee, and fruit especially well.","['almond liqueur', 'almond extract', 'hazelnut liqueur']",
438,amber rum,"añejo rum, brown rum, gold rum","This is similar to white rum, but has a stronger flavor.  Most of it is made in Puerto Rico, Trinidad, Barbados, and the Virgin Islands.
Bacardi, Ronrico, and DonQ are popular brands.","['white rum', 'dark rum', 'whiskey', 'cognac']",
439,Amer Picon,,"This is a bitter French apéritif that's usually served with water and a sweetener, or sometimes mixed with beer.","['Lillet', 'Dubonnet', 'Byrrh', 'Punt è Mes', 'Suze']",
440,anise,"anesone, aniseed","This is a name sometimes given to drier anise-flavored liqueurs, like pastis, ouzo, and arak.",['anisette'],Pimpinella anisum
441,anisette,,This French liqueur is flavored with anise seeds.  It's sweeter and lower in alcohol than other anise-flavored liqueurs.  Marie Brizard is a well-respected brand.,"['anise', 'anise extract', 'Pernod', 'ouzo', 'pastis', 'sambuca']",
442,apple schnapps,,,[],
443,apricot liqueur,,This liqueur tastes like both apricots and almonds.,"['apricot brandy', 'amaretto']",
444,aquavit,"akevit, akvavit, snaps","This is made by Scandinavians, who distill it from potatoes or grains and flavor it with caraway seeds or other spices. They like to drink it chilled and straight, in small, narrow glasses. Don't confuse it with aqua vitae, or fruit brandy.",['vodka'],
445,arak,"arack, arrack, arraki, raki","The name comes from the Arabic word for juice, and it's applied to a wide variety of somewhat harsh-tasting alcoholic beverages that are flavored with various herbs and spices, particularly anise.  It's fairly potent, and usually served as an apéritif.","['ouzo', 'grappa', 'aquavit']",
446,ascorbic acid,,,['vinegar'],
447,B&B,"B & B, B and B","Bénédictine liqueur is a tad too sweet for many people, so it's common to cut it with brandy.  Noting this, the producers of Bénédictine decided to produce their own blend.","['Bénédictine', 'Bénédictine']",
448,baijiu,shaojiu,Baijiu is a strong (40% to 60% alcohol) clear Chinese liquor. Its origins date back to the Han Dynasty around 150 BCE. Baijiu is normally made from fermented sorghum. Baijiu is presented in anything from elaborate gift bottles to sport drink bottles.,[],
449,baker's caramel,blackjack,,"['caramel coloring', 'Kitchen Bouquet', 'browning']",
450,balsamic vinegar,"aceto balsamico, aceto di balsamico","This enormously popular Italian vinegar is prized for its sweet, fruity flavor and mild acidity. It's terrific for deglazing pans, dressing salads and vegetable dishes, and for seasoning everything from grilled meat to poached fruit. Its quality varies enormously. Expensive artisan-made balsamic vinegars (labeled traditional or tradizionale) are aged in wood barrels for at least 12 years and can cost over $100 per bottle. They're exquisitely complex, syrupy and only slightly acidic. Those who can afford them often drink them as they would a vintage port, or use them in desserts, where their sweetness and subtleties can be shown off to best advantage. Cheaper commercial brands are watered down with wine vinegar and artificially colored, but they're fine for most recipes.","['brown rice vinegar', 'Chinese black vinegar', 'sugar', 'fruit vinegar', 'sherry vinegar']",
451,Banyuls,,This is a red dessert wine that's produced in France.  It's one of the few wines that's good with chocolate.,"['port', 'black muscat wine', 'porter ale']",
452,Barbera,,"This is a hearty red wine that's usually blended into jug wines, but sometimes sold as an inexpensive varietal wine","['Chianti', 'Zinfandel']",
453,barley malt syrup,"barley syrup, dark malt syrup, extract of malted barley, malt syrup, malted cereal syrup","This tastes a bit like molasses, and it's not as sweet as sugar or honey. It's mostly used to make beer, but it's also used to make breads or other baked goods.","['molasses', 'brown rice syrup', 'maple syrup']",
454,Batavia arak,Batavia arrack,This is an aromatic rum that's produced in Java.,[],
455,Bauchant,,This is an orange liqueur.,"['Grand Marnier', 'Cointreau', 'triple sec']",
456,bayberry juice,,,[],
457,Beaujolais,,"This is a region in Eastern France that produces light, fruity, fresh-tasting red wines that are relatively low in alcohol.  Beaujolais wines should be drunk while young.","['Gamay', 'Pinot Noir', 'Burgundy wine (red)', 'Chianti', 'Barbera']",
458,beef base,,,"['beef bouillon cubes', 'beef broth']",Bos taurus
459,beef bouillon cubes,,A bullion cube weighs 0.14 ounce and with water makes one cup.,"['beef broth', 'beef stock', 'veal stock', 'red miso', 'beef base']",
460,beef broth,,,"['beef stock', 'beef base', 'water']",Bos taurus
461,beef stock,,,"['beef broth', 'hatcho miso', 'beef base', 'water']",Bos taurus
462,Alpino salami,,This is an Italian-style salami.,['salami'],
463,American bacon,,,"['pancetta', 'bacon bits, imitation', 'salt pork', 'vegetarian bacon']",Sus scrofa domesticus
464,andouille,"Cajun andouille, Louisiana andouille","This is a spicy smoked Cajun sausage that's used in jambalaya and gumbo. Don't confuse it with andouillette, a French sausage that's made from tripe.",['kielbasa'],
465,andouillette,,"This tripe sausage has an unpleasant aroma and an assertive flavor, but while it's definitely not a crowd-pleaser, it's acquired something of a cult following. Larger sausages are called French andouille.","['French andouille sausage', 'Italian sausage']",
466,antelope,"American antelope, prairie antelope, pronghorn","Antelope are related to goats, but the meat resembles strongly-flavored venison.",['venison'],Antilocapra americana[
467,Ardennes ham,,This is an air-dried ham that's similar to prosciutto.,"['prosciutto', 'Bayonne ham', 'Westphalian ham']",Sus scrofa domesticus
468,bacon,"American bacon, fresh bacon, pork belly, side pork, streaky bacon","Bacon is a very fatty slab taken from the underside of a pig.  The bacon sold in markets is usually cured and smoked, but it's also possible to buy uncured fresh bacon = pork belly = side pork.  Smoked bacon is often fried and served with eggs or in sandwiches, or it's sometimes wrapped around lean meats to keep them moist while they're cooking.","['turkey bacon', 'vegetarian bacon', 'bacon bits, imitation', 'ham', 'Canadian bacon', 'pancetta', 'salt pork', 'fatback']",Sus scrofa domesticus
469,"bacon bits, imitation",,This is soy protein that's flavored to taste like bacon.  It's cheaper and lower in fat than real bacon.,"['bacon', 'sushi nori', 'turkey bacon', 'vegetarian bacon']",Glycine max
470,banger,,Bangers are a mild British pork sausage.,"['hot dog', 'bockwurst']",Sus scrofa domesticus
471,basturma,"basterma, bastirma, pasterma, pastirma",This Armenian specialty consists of beef that's marinated in spices and air-dried.,[],Bos taurus
472,bauerschinken,,The name means farmer's ham.,['prosciutto'],Sus scrofa domesticus
473,bauerwurst,bauernwurst,This is a chunky German farmer's sausage that's often grilled and served on a bun or cooked with sauerkraut.,['bratwurst'],
474,Bayonne ham,jambon Bayonne,This boneless French ham is similar to prosciutto.,"['prosciutto', 'York ham', 'Ardennes ham', 'Westphalian ham']",Sus scrofa domesticus
475,bear,,"Compared with beef, bear is high in protein and low in fat and calories.  Make sure you cook it thoroughly--it's possible to contract trichinosis from undercooked bear meat.","['Beef', 'elk', 'moose']",Ursus americanus
476,beef 7-bone pot roast,"7-bone pot roast, 7-bone roast, center cut pot roast, chuck roast center cut","This is a tough cut of meat, so it's usually braised or cooked in liquid to tenderize it.  A steak from this roast is called a 7-bone steak.","['beef arm roast', 'beef blade roast']",Bos taurus
477,beef 7-bone steak,"7-bone steak, center chuck steak","This is an economical steak cut from a 7-bone pot roast. It's rather tough, so your best bet is to braise it. If you insist on grilling or broiling it, be sure to marinate it overnight to make it as tender as possible.","['beef top blade steak', 'beef under blade steak']",Bos taurus
478,beef arm roast,"arm chuck roast, arm pot roast, arm roast, chuck arm roast, round bone pot roast, round bone roast","This is just a butcher's blade away from the shoulder roast, and the main difference between the two is that the arm roast has a round bone in it and is slightly more tender. You can use this for a pot roast, or cut it up for stew meat, but it's too tough to cook with dry heat. A steak cut from this roast is called an arm steak.","['beef shoulder roast', 'beef bottom round', 'beef cross rib roast']",Bos taurus
479,beef arm steak,"arm chuck steak, arm steak, arm Swiss steak, round bone steak, round bone Swiss steak","This is a steak cut from an arm roast. It's too tough to grill or broil, but it's very tasty if you braise it.","['beef 7-bone steak', 'beef under blade steak', 'beef shoulder steak']",Bos taurus
